NOMBRE ENTIDAD,TIPO ENTIDAD,FECHA CORTE,ESTADO FINANCIERO,CODIGO CUENTA,DESCRIPCION,SALDO,MONEDA
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.4608,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,1.1090798445003114,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
CAJA de ANDE,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.029504447981535294,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,ROA,ROA,0.0021970966423888213,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,ROE,ROE,0.022621482674907586,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9117415825902165,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.5182823027505233,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.0383067676702375,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.8190660435707974,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.02929286878648725,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0158,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.1456,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.4736838502422141,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
CATHAY,Bancos Privados,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.045771704361623124,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,ROA,ROA,0.0038949136418237463,CRC
